product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_group,candidate_ext
30TG,lockets,1,exact_alnum,high,90,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
30TG,lockets,2,fuzzy,medium,64,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
30TG,lockets,3,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
30TG,lockets,4,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
30TG,lockets,5,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
3TFG,lockets,1,fuzzy,low,40,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
3TG,lockets,1,fuzzy,medium,60,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,crosses_lockets,png
3TG,lockets,2,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
3TG,lockets,3,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,crosses_lockets,png
3TG,lockets,4,fuzzy,low,40,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,crosses_lockets,png
3TG,lockets,5,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
3TGA,lockets,1,fuzzy,medium,64,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
3TGA,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
3TGA,lockets,3,fuzzy,low,48,L7TGA,L7TGA,accessories_php/images/Crosses_and_Lockets/L7TGA.png,images,crosses_lockets,png
3TGA,lockets,4,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
3TGA,lockets,5,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
40A,lockets,1,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
40A,lockets,2,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
41A,lockets,1,fuzzy,low,40,41NH,41NH,accessories_php/images/Crosses_and_Lockets/41NH.png,images,crosses_lockets,png
41A,lockets,2,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,crosses_lockets,png
41A,lockets,3,fuzzy,low,40,41NB,41NB,accessories_php/images/Crosses_and_Lockets/41NB.png,images,crosses_lockets,png
41A,lockets,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
42A,lockets,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
42A,lockets,2,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,crosses_lockets,png
42A,lockets,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,crosses_lockets,png
42A,lockets,4,fuzzy,low,27,L27,L27,accessories_php/images/Crosses_and_Lockets/L27.png,images,crosses_lockets,png
42A,lockets,5,fuzzy,low,27,L26,L26,accessories_php/images/Crosses_and_Lockets/L26.png,images,crosses_lockets,png
43A,lockets,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,crosses_lockets,png
43A,lockets,2,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,crosses_lockets,png
44E,lockets,1,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,crosses_lockets,png
5TGA,lockets,1,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
5TGA,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
5TGA,lockets,3,fuzzy,low,48,L7TGA,L7TGA,accessories_php/images/Crosses_and_Lockets/L7TGA.png,images,crosses_lockets,png
5TGA,lockets,4,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
5TGA,lockets,5,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
6TGA,lockets,1,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
6TGA,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
6TGA,lockets,3,fuzzy,low,48,L7TGA,L7TGA,accessories_php/images/Crosses_and_Lockets/L7TGA.png,images,crosses_lockets,png
6TGA,lockets,4,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,crosses_lockets,png
6TGA,lockets,5,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
70T-TT,lockets,1,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
70T-TT,lockets,2,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
70TGA,lockets,1,fuzzy,medium,64,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
70TGA,lockets,2,fuzzy,medium,64,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
70TGA,lockets,3,fuzzy,medium,64,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
70TGA,lockets,4,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
70TGA,lockets,5,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,crosses_lockets,png
70TGM,lockets,1,fuzzy,medium,64,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
70TGM,lockets,2,fuzzy,medium,64,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
70TGM,lockets,3,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
70TGM,lockets,4,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,crosses_lockets,png
70TGN,lockets,1,fuzzy,medium,64,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,crosses_lockets,png
70TGN,lockets,2,fuzzy,medium,64,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,crosses_lockets,png
70TGN,lockets,3,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,crosses_lockets,png
