product_id,category,candidate_rank,match_tier,confidence,score,candidate_norm_key,candidate_alnum_key,candidate_path,candidate_source,candidate_ext
35C,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
36C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
36C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
36C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
36C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
36C,crosses,5,fuzzy,low,27,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
38,crosses,1,fuzzy,medium,40,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
38,crosses,2,fuzzy,medium,40,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
38,crosses,3,fuzzy,medium,40,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
38,crosses,4,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
38,crosses,5,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
38C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
38C,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
38C,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
38C,crosses,4,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
38C,crosses,5,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
38P,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
38P,crosses,2,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
38P,crosses,3,fuzzy,low,27,3NH,3NH,accessories_php/images/Crosses_and_Lockets/3NH.png,images,png
38P,crosses,4,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
38P,crosses,5,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
43CD,crosses,1,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,png
43CD,crosses,2,fuzzy,low,40,3ND,3ND,accessories_php/images/Crosses_and_Lockets/3ND_alt1.png,images,png
45,crosses,1,fuzzy,low,27,4BE,4BE,accessories_php/images/Idents/4BE.png,images,png
45,crosses,2,fuzzy,low,0,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
45,crosses,3,fuzzy,low,0,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
45,crosses,4,fuzzy,low,0,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
45,crosses,5,fuzzy,low,0,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
50,crosses,1,fuzzy,medium,40,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
50,crosses,2,fuzzy,medium,40,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
50,crosses,3,fuzzy,medium,40,5B,5B,accessories_php/images/Idents/5B.png,images,png
50,crosses,4,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
50,crosses,5,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
51,crosses,1,fuzzy,medium,40,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
51,crosses,2,fuzzy,medium,40,5B,5B,accessories_php/images/Idents/5B.png,images,png
51,crosses,3,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
51,crosses,4,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
51,crosses,5,fuzzy,low,27,5NH,5NH,accessories_php/images/Crosses_and_Lockets/5NH.png,images,png
51D,crosses,1,fuzzy,medium,53,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
51D,crosses,2,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,png
51D,crosses,3,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
51D,crosses,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
51D,crosses,5,fuzzy,low,27,8ND,8ND,accessories_php/images/Crosses_and_Lockets/8ND.png,images,png
51P,crosses,1,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
51P,crosses,2,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
51P,crosses,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
51P,crosses,4,fuzzy,low,27,5NH,5NH,accessories_php/images/Crosses_and_Lockets/5NH.png,images,png
51P,crosses,5,fuzzy,low,27,5B,5B,accessories_php/images/Idents/5B.png,images,png
51PD,crosses,1,fuzzy,low,40,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
51PD,crosses,2,fuzzy,low,40,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,png
52C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
52C,crosses,2,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
52C,crosses,3,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
52C,crosses,4,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
52C,crosses,5,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
93,crosses,1,fuzzy,medium,40,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
93,crosses,2,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
93,crosses,3,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
93,crosses,4,fuzzy,low,0,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
93,crosses,5,fuzzy,low,0,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
93C,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
93C,crosses,2,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
93C,crosses,3,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
93C,crosses,4,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
97,crosses,1,fuzzy,medium,53,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
97,crosses,2,fuzzy,medium,40,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
97,crosses,3,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
97,crosses,4,fuzzy,low,27,L27,L27,accessories_php/images/Crosses_and_Lockets/L27.png,images,png
97,crosses,5,fuzzy,low,27,PH7,PH7,accessories_php/images/Pendant_earrings/PH7.png,images,png
97D,crosses,1,fuzzy,medium,53,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
97D,crosses,2,fuzzy,low,27,5ND,5ND,accessories_php/images/Crosses_and_Lockets/5ND.png,images,png
97D,crosses,3,fuzzy,low,27,8ND,8ND,accessories_php/images/Crosses_and_Lockets/8ND.png,images,png
97D,crosses,4,fuzzy,low,27,7ND,7ND,accessories_php/images/Crosses_and_Lockets/7ND.png,images,png
97D,crosses,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
99,crosses,1,fuzzy,medium,40,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
99,crosses,2,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
99,crosses,3,fuzzy,low,27,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
99,crosses,4,fuzzy,low,0,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
99,crosses,5,fuzzy,low,0,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
B38,crosses,1,fuzzy,low,27,32,32,accessories_php/images/Crosses_and_Lockets/32.png,images,png
B38,crosses,2,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
B38,crosses,3,fuzzy,low,27,30,30,accessories_php/images/Crosses_and_Lockets/30.png,images,png
1,lockets,1,fuzzy,medium,40,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
1,lockets,2,fuzzy,low,27,1BE,1BE,accessories_php/images/Idents/1BE.png,images,png
1,lockets,3,fuzzy,low,20,41NH,41NH,accessories_php/images/Crosses_and_Lockets/41NH.png,images,png
1,lockets,4,fuzzy,low,20,41ND,41ND,accessories_php/images/Crosses_and_Lockets/41ND.png,images,png
1,lockets,5,fuzzy,low,20,41NB,41NB,accessories_php/images/Crosses_and_Lockets/41NB.png,images,png
10TGD,lockets,1,fuzzy,medium,64,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,png
10TGD,lockets,2,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
10TGD,lockets,3,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,png
10TGD,lockets,4,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,png
10TGD,lockets,5,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,png
10TGE,lockets,1,fuzzy,medium,64,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,png
10TGE,lockets,2,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
10TGE,lockets,3,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,png
10TGE,lockets,4,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,png
11TG,lockets,1,fuzzy,medium,60,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
11TG,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,png
11TG,lockets,3,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
11TG,lockets,4,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,png
11TG,lockets,5,fuzzy,low,40,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,png
12TG,lockets,1,fuzzy,low,48,L26TG,L26TG,accessories_php/images/Crosses_and_Lockets/L26TG.png,images,png
12TG,lockets,2,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
12TG,lockets,3,fuzzy,low,40,L7TG,L7TG,accessories_php/images/Crosses_and_Lockets/L7TG.png,images,png
12TG,lockets,4,fuzzy,low,40,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,png
12TG,lockets,5,fuzzy,low,40,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
13TGA,lockets,1,fuzzy,medium,64,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
13TGA,lockets,2,fuzzy,low,48,30TGA,30TGA,accessories_php/images/Crosses_and_Lockets/30TGA.png,images,png
13TGA,lockets,3,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,png
13TGA,lockets,4,fuzzy,low,48,L7TGA,L7TGA,accessories_php/images/Crosses_and_Lockets/L7TGA.png,images,png
13TGA,lockets,5,fuzzy,low,48,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,png
13TGD,lockets,1,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,png
13TGD,lockets,2,fuzzy,low,48,M3TG,M3TG,accessories_php/images/Crosses_and_Lockets/M3TG.png,images,png
13TGD,lockets,3,fuzzy,low,48,10TGA,10TGA,accessories_php/images/Crosses_and_Lockets/10TGA.png,images,png
13TGD,lockets,4,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,png
20TT,lockets,1,fuzzy,low,40,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
20TT,lockets,2,fuzzy,low,40,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
29A,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
29A,lockets,2,fuzzy,low,48,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,png
29A,lockets,3,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
29A,lockets,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
29A,lockets,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
29B,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
29B,lockets,2,fuzzy,low,27,5NB,5NB,accessories_php/images/Crosses_and_Lockets/5NB.png,images,png
29B,lockets,3,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
29B,lockets,4,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
29B,lockets,5,fuzzy,low,27,3NB,3NB,accessories_php/images/Crosses_and_Lockets/3NB.png,images,png
29E,lockets,1,fuzzy,medium,53,29U,29U,accessories_php/images/Crosses_and_Lockets/29U.png,images,png
29E,lockets,2,fuzzy,low,27,20,20,accessories_php/images/Crosses_and_Lockets/20.png,images,png
29E,lockets,3,fuzzy,low,27,21,21,accessories_php/images/Crosses_and_Lockets/21.png,images,png
29E,lockets,4,fuzzy,low,27,97E,97E,accessories_php/images/Crosses_and_Lockets/97E.png,images,png
29E,lockets,5,fuzzy,low,27,98,98,accessories_php/images/Crosses_and_Lockets/98.png,images,png
29TGD,lockets,1,fuzzy,medium,64,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,png
29TGD,lockets,2,fuzzy,low,48,70TGD,70TGD,accessories_php/images/Crosses_and_Lockets/70TGD.png,images,png
29TGD,lockets,3,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,png
29TGD,lockets,4,fuzzy,low,48,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
29TGD,lockets,5,fuzzy,low,48,L7TGD,L7TGD,accessories_php/images/Crosses_and_Lockets/L7TGD.png,images,png
29TGE,lockets,1,fuzzy,medium,64,29TGA,29TGA,accessories_php/images/Crosses_and_Lockets/29TGA.png,images,png
29TGE,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,png
29TGE,lockets,3,fuzzy,low,48,70TGE,70TGE,accessories_php/images/Crosses_and_Lockets/70TGE.png,images,png
29TGE,lockets,4,fuzzy,low,48,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
2LTG,lockets,1,fuzzy,medium,60,21TG,21TG,accessories_php/images/Crosses_and_Lockets/21TG.png,images,png
2LTG,lockets,2,fuzzy,low,48,21TGA,21TGA,accessories_php/images/Crosses_and_Lockets/21TGA.png,images,png
2LTG,lockets,3,fuzzy,low,48,L26TG,L26TG,accessories_php/images/Crosses_and_Lockets/L26TG.png,images,png
