100S/STERB     |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |    2 |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N80|8|  0.000|   24.50|20260305|00000000
101/GF         |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
101/GFB        |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
101/STER       |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
101/STERB      |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N80|8|  0.000|   24.50|20260305|00000000
101A/GF        |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N90|8|  0.000|   27.25|20260305|00000000
101A/GFB       |CROSS   ONLY            |   24.50|   15.12|   0.91|   5.56|GF |  |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N90|8|  0.000|   24.50|20260305|00000000
101A/STER      |CROSS   BOXED           |   27.25|   16.69|   2.24|   5.80|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR,BOX.   |                        |N80|8|  0.000|   27.25|20260305|00000000
101A/STERB     |CROSS   BULK            |   24.50|   15.12|   0.91|   5.56|STE|R |  0.000|    0.00|  2.070|   8.65|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|MAT-CROSS LP,PLAT,ENGR.       |                        |N80|8|  0.000|   24.50|20260305|00000000
101S/10K       |CROSS   BOXED           |  206.75|  127.52|   3.86|   6.95|10K|  |  1.290|  116.71|  0.000|   0.00|   0.00|   0.00|   0.00|      |      |      |      |      |      |      |      |      |      |      |      |50|  0.00|                              |                        |N70|8|  0.000|  206.75|20260305|00000000
