Invoice,Customer,Item,Period,TransDate,Name,Amount,Quantity,Cost,Salesman,OrderBy,Terms
591341,HAG224,,20140331,4X201403,4*HAGERSVILLE JLRS. LT,224000001,050000,000000000,00,00,0
591342,JEW370,,20140331,4X201403,4*JEWELS ON NINTH,370000000,378000,000000000,00,00,0
591342,JEW370,REPAIRS,20140331,4Z201403,4*JEWELS ON NINTH,370000006,000000,001000000,00,00,0
591342,JEW370,,20140331,4X201403,4*JEWELS ON NINTH,370000001,550000,000000000,00,00,0
591343,BRE055,,20140331,4X201403,4*THE BREEZE GALLERY,055000000,488000,000000000,00,00,0
591343,BRE055,CLAS.PET/STER,20140331,4Z201403,4*THE BREEZE GALLERY,055000008,200000,001000004,44,00,0
591343,BRE055,,20140331,4X201403,4*THE BREEZE GALLERY,055000001,550000,000000000,00,00,0
591344,BUR121,,20140331,4X201403,4*T H BURNS JEWELLERS,121000004,410000,000000000,00,04,5
591344,BUR121,5316L/10K,20140331,4Z201403,4*T H BURNS JEWELLERS,121000032,875000,001000020,71,04,5
591344,BUR121,,20140331,4X201403,4*T H BURNS JEWELLERS,121000001,050000,000000000,00,04,5
591345,GOL361,,20140331,4X201403,4*GOLDSTREAM,361000008,580000,000000000,00,04,5
591345,GOL361,5422M/10K,20140331,4Z201403,4*GOLDSTREAM,361000038,875000,001000026,06,04,5
591345,GOL361,5626L/10K,20140331,4Z201403,4*GOLDSTREAM,361000026,075000,001000016,72,94,5
591345,GOL361,,20140331,4X201403,4*GOLDSTREAM,361000001,050000,000000000,00,04,5
591346,MOD351,,20140331,4X201403,4*MODERN JLRS. LTD.,351000001,554000,000000000,00,00,0
591346,MOD351,CLAS.MD.M/STER,20140331,4Z201403,4*MODERN JLRS. LTD.,351000010,400000,001000005,78,90,0
591346,MOD351,,20140331,4X201403,4*MODERN JLRS. LTD.,351000001,550000,000000000,00,00,0
591347,RAN420,,20140331,4X201403,4PAUL RANDOLPH JLRY. L,420000006,487000,000000000,00,04,5
591347,RAN420,,20140331,8X201403,4PAUL RANDOLPH JLRY. L,420000006,48w000,000000000,00,04,5
591347,RAN420,,20140331,8X201403,4PAUL RANDOLPH JLRY. L,420000000,000000,000000000,00,04,5
591347,RAN420,,20140331,8X201403,4PAUL RANDOLPH JLRY. L,420000000,000000,000000000,00,04,5
591347,RAN420,5522M/10K,20140331,4Z201403,4PAUL RANDOLPH JLRY. L,420000049,900000,001000030,88,24,5
591347,RAN420,5522M/10K,20140331,8Z201403,4PAUL RANDOLPH JLRY. L,420000049,90p000,00q000030,88,r4,5
591348,REI410,,20140331,4X201403,4*D.M. REID JEWELLERS,410000005,850000,000000000,00,02,4
591348,REI410,6T18M/10KY,20140331,4Z201403,4*D.M. REID JEWELLERS,410000026,950000,001000016,93,92,4
591348,REI410,1890/10K,20140331,4Z201403,4*D.M. REID JEWELLERS,410000010,500000,001000005,80,22,4
591348,REI410,,20140331,4X201403,4*D.M. REID JEWELLERS,410000001,550000,000000000,00,02,4
591349,REI410,,20140331,4X201403,4*D.M. REID JEWELLERS,410000000,93y000,000000000,00,02,4
591349,REI410,SR83B/STER,20140331,4Z201403,4*D.M. REID JEWELLERS,410000006,26s000,00q000004,52,s2,4
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000001,893000,000000000,00,05,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000001,89s000,000000000,00,05,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000000,000000,000000000,00,05,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000000,000000,000000000,00,05,9
591350,CJG130,F2556-GEN/10K,20140331,4Z201403,4THE CANADIAN JLRY. GR,443000024,900000,001000013,30,35,9
591350,CJG130,F2556-GEN/10K,20140331,4Z201403,4THE CANADIAN JLRY. GR,443000024,90p000,00q000013,30,s5,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000000,000000,000000000,00,05,9
591350,CJG130,CLAS.MD.M/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,443000011,400000,001000005,78,95,9
591350,CJG130,CLAS.MD.M/STER,20140331,4Z201403,4THE CANADIAN JLRY. GR,443000011,40p000,00q000005,78,y5,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000001,550000,000000000,00,05,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000001,55p000,000000000,00,05,9
591350,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,443000000,000000,000000000,00,05,9
591351,CJG130,,20140331,4X201403,4THE CANADIAN JLRY. GR,429000002,021000,000000000,00,05,9
591351,CJG130,5312M/10K,20140331,4Z201403,4THE CANADIAN JLRY. GR,429000038,875000,001000026,06,05,9
